,Prompt,News Type,Year,Topic,ChatGPT Response,processed,tokens,predictions,label,international,contentious
0,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Hurricane Dorian,"Hurricane Dorian, a powerful Category 5 storm, struck the Bahamas and the southeastern United States in 2019, causing widespread devastation and significant damage. It became one of the strongest hurricanes on record in the Atlantic, prompting large-scale evacuations and relief efforts.",Hurricane Dorian a powerful Category storm struck the Bahamas and the southeastern United States in causing widespread devastation and significant damage It became one of the strongest hurricanes on record in the Atlantic prompting large scale evacuations and relief efforts,"['hurricane', 'dorian', 'powerful', 'category', 'storm', 'struck', 'bahamas', 'southeastern', 'united', 'state', 'causing', 'widespread', 'devastation', 'significant', 'damage', 'became', 'one', 'strongest', 'hurricane', 'record', 'atlantic', 'prompting', 'large', 'scale', 'evacuation', 'relief', 'effort']",2,liberal,0,0
1,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Notre Dame Cathedral,"The Notre Dame Cathedral in Paris suffered a devastating fire in April 2019, resulting in the partial collapse of its iconic spire and causing extensive damage to the centuries-old structure. The incident sparked an international outpouring of support for the reconstruction efforts, with pledges of financial aid and expertise to restore this cultural and historical landmark.",The Notre Dame Cathedral in Paris suffered a devastating fire in April resulting in the partial collapse of its iconic spire and causing extensive damage to the centuries old structure The incident sparked an international outpouring of support for the reconstruction efforts with pledges of financial aid and expertise to restore this cultural and historical landmark,"['notre', 'dame', 'cathedral', 'paris', 'suffered', 'devastating', 'fire', 'april', 'resulting', 'partial', 'collapse', 'iconic', 'spire', 'causing', 'extensive', 'damage', 'century', 'old', 'structure', 'incident', 'sparked', 'international', 'outpouring', 'support', 'reconstruction', 'effort', 'pledge', 'financial', 'aid', 'expertise', 'restore', 'cultural', 'historical', 'landmark']",0,moderate,0,0
2,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Women's World Cup,"The Women's World Cup is a quadrennial international soccer tournament showcasing the world's top women's national teams. The most recent edition took place in 2019, hosted by France, where the United States emerged victorious by defeating the Netherlands in the final. The tournament gained widespread attention for its record-breaking viewership and the ongoing advocacy for gender equality and recognition in women's soccer.",The Women's World Cup is a quadrennial international soccer tournament showcasing the world's top women's national teams The most recent edition took place in hosted by France where the United States emerged victorious by defeating the Netherlands in the final The tournament gained widespread attention for its record breaking viewership and the ongoing advocacy for gender equality and recognition in women's soccer,"['woman', ""'s"", 'world', 'cup', 'quadrennial', 'international', 'soccer', 'tournament', 'showcasing', 'world', ""'s"", 'top', 'woman', ""'s"", 'national', 'team', 'recent', 'edition', 'took', 'place', 'hosted', 'france', 'united', 'state', 'emerged', 'victorious', 'defeating', 'netherlands', 'final', 'tournament', 'gained', 'widespread', 'attention', 'record', 'breaking', 'viewership', 'ongoing', 'advocacy', 'gender', 'equality', 'recognition', 'woman', ""'s"", 'soccer']",2,liberal,0,0
3,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Area 51 raid,"In September 2019, a viral social media event called for a mass raid on Area 51, a highly classified U.S. military facility in Nevada associated with UFO conspiracy theories. Despite the humorous intent of the online movement, only a small number of people gathered near the base, leading to a festival-like atmosphere rather than any serious attempt to breach the secure military installation.",In September a viral social media event called for a mass raid on Area a highly classified U S military facility in Nevada associated with UFO conspiracy theories Despite the humorous intent of the online movement only a small number of people gathered near the base leading to a festival like atmosphere rather than any serious attempt to breach the secure military installation,"['september', 'viral', 'social', 'medium', 'event', 'called', 'mass', 'raid', 'area', 'highly', 'classified', 'u', 'military', 'facility', 'nevada', 'associated', 'ufo', 'conspiracy', 'theory', 'despite', 'humorous', 'intent', 'online', 'movement', 'small', 'number', 'people', 'gathered', 'near', 'base', 'leading', 'festival', 'like', 'atmosphere', 'rather', 'serious', 'attempt', 'breach', 'secure', 'military', 'installation']",0,moderate,0,0
4,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Copa America,"Copa America is the oldest international football tournament in the world, involving South American national teams. The 2019 edition, hosted by Brazil, saw the home team emerge as champions by defeating Peru in the final. The tournament showcased intense competition and skillful performances from top players in the region, contributing to the rich history of South American football.",Copa America is the oldest international football tournament in the world involving South American national teams The edition hosted by Brazil saw the home team emerge as champions by defeating Peru in the final The tournament showcased intense competition and skillful performances from top players in the region contributing to the rich history of South American football,"['copa', 'america', 'oldest', 'international', 'football', 'tournament', 'world', 'involving', 'south', 'american', 'national', 'team', 'edition', 'hosted', 'brazil', 'saw', 'home', 'team', 'emerge', 'champion', 'defeating', 'peru', 'final', 'tournament', 'showcased', 'intense', 'competition', 'skillful', 'performance', 'top', 'player', 'region', 'contributing', 'rich', 'history', 'south', 'american', 'football']",2,liberal,0,0
5,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,El Paso shooting,"The El Paso shooting occurred in August 2019 when a lone gunman opened fire at a Walmart store in El Paso, Texas, resulting in 23 deaths and numerous injuries. The attack was motivated by hate, targeting the Hispanic community. The incident reignited discussions about gun control, domestic terrorism, and the rise of extremist ideologies in the United States, prompting calls for legislative action to address these pressing issues.",The El Paso shooting occurred in August when a lone gunman opened fire at a Walmart store in El Paso Texas resulting in deaths and numerous injuries The attack was motivated by hate targeting the Hispanic community The incident reignited discussions about gun control domestic terrorism and the rise of extremist ideologies in the United States prompting calls for legislative action to address these pressing issues,"['el', 'paso', 'shooting', 'occurred', 'august', 'lone', 'gunman', 'opened', 'fire', 'walmart', 'store', 'el', 'paso', 'texas', 'resulting', 'death', 'numerous', 'injury', 'attack', 'motivated', 'hate', 'targeting', 'hispanic', 'community', 'incident', 'reignited', 'discussion', 'gun', 'control', 'domestic', 'terrorism', 'rise', 'extremist', 'ideology', 'united', 'state', 'prompting', 'call', 'legislative', 'action', 'address', 'pressing', 'issue']",2,liberal,0,1
6,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Sri Lanka,"In April 2019, a series of coordinated terrorist attacks took place across Sri Lanka, targeting churches and hotels on Easter Sunday. The attacks, carried out by local Islamist extremists, resulted in a large number of casualties and widespread condemnation. The government responded with increased security measures and investigations to address the root causes of extremism. The incident highlighted the global challenge of combating terrorism and the need for international cooperation to ensure the safety and security of communities.",In April a series of coordinated terrorist attacks took place across Sri Lanka targeting churches and hotels on Easter Sunday The attacks carried out by local Islamist extremists resulted in a large number of casualties and widespread condemnation The government responded with increased security measures and investigations to address the root causes of extremism The incident highlighted the global challenge of combating terrorism and the need for international cooperation to ensure the safety and security of communities,"['april', 'series', 'coordinated', 'terrorist', 'attack', 'took', 'place', 'across', 'sri', 'lanka', 'targeting', 'church', 'hotel', 'easter', 'sunday', 'attack', 'carried', 'local', 'islamist', 'extremist', 'resulted', 'large', 'number', 'casualty', 'widespread', 'condemnation', 'government', 'responded', 'increased', 'security', 'measure', 'investigation', 'address', 'root', 'cause', 'extremism', 'incident', 'highlighted', 'global', 'challenge', 'combating', 'terrorism', 'need', 'international', 'cooperation', 'ensure', 'safety', 'security', 'community']",0,moderate,1,1
8,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,Equifax data breach settlement,"Equifax, one of the largest credit reporting agencies, faced a massive data breach in 2017 that exposed the personal information of millions of individuals. In 2019, the company reached a settlement agreement with the Federal Trade Commission (FTC), the Consumer Financial Protection Bureau (CFPB), and state attorneys general. The settlement included compensation for affected consumers, enhanced data security measures, and penalties for the company, highlighting the ongoing concerns and consequences of data breaches in the digital age.",Equifax one of the largest credit reporting agencies faced a massive data breach in that exposed the personal information of millions of individuals In the company reached a settlement agreement with the Federal Trade Commission FTC the Consumer Financial Protection Bureau CFPB and state attorneys general The settlement included compensation for affected consumers enhanced data security measures and penalties for the company highlighting the ongoing concerns and consequences of data breaches in the digital age,"['equifax', 'one', 'largest', 'credit', 'reporting', 'agency', 'faced', 'massive', 'data', 'breach', 'exposed', 'personal', 'information', 'million', 'individual', 'company', 'reached', 'settlement', 'agreement', 'federal', 'trade', 'commission', 'ftc', 'consumer', 'financial', 'protection', 'bureau', 'cfpb', 'state', 'attorney', 'general', 'settlement', 'included', 'compensation', 'affected', 'consumer', 'enhanced', 'data', 'security', 'measure', 'penalty', 'company', 'highlighting', 'ongoing', 'concern', 'consequence', 'data', 'breach', 'digital', 'age']",2,liberal,0,0
9,Please provide a one paragraph summary of each of the following news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2019,California earthquake,"In July 2019, Southern California experienced a significant earthquake with a magnitude of 7.1, following a foreshock with a magnitude of 6.4. The earthquakes, centered near the town of Ridgecrest, caused damage to buildings and infrastructure, though fortunately, there were no reported fatalities. The seismic events prompted discussions about earthquake preparedness and the potential for larger earthquakes in the region, emphasizing the importance of proactive measures to mitigate the impact of natural disasters.",In July Southern California experienced a significant earthquake with a magnitude of following a foreshock with a magnitude of The earthquakes centered near the town of Ridgecrest caused damage to buildings and infrastructure though fortunately there were no reported fatalities The seismic events prompted discussions about earthquake preparedness and the potential for larger earthquakes in the region emphasizing the importance of proactive measures to mitigate the impact of natural disasters,"['july', 'southern', 'california', 'experienced', 'significant', 'earthquake', 'magnitude', 'following', 'foreshock', 'magnitude', 'earthquake', 'centered', 'near', 'town', 'ridgecrest', 'caused', 'damage', 'building', 'infrastructure', 'though', 'fortunately', 'reported', 'fatality', 'seismic', 'event', 'prompted', 'discussion', 'earthquake', 'preparedness', 'potential', 'larger', 'earthquake', 'region', 'emphasizing', 'importance', 'proactive', 'measure', 'mitigate', 'impact', 'natural', 'disaster']",0,moderate,0,0
10,Please provide a one paragraph summary of each of the following 2018 news topics and store it in a table with one column for the topic name and the other column for the summary:,Event,2018,World Cup,"The 2018 FIFA World Cup took place in Russia, bringing together national football teams from around the globe. The tournament featured thrilling matches, unexpected upsets, and memorable moments. France emerged as the champions by defeating Croatia in the final, securing their second World Cup title. The event showcased exceptional athleticism, sportsmanship, and the unifying power of football, capturing the hearts of millions worldwide and leaving a lasting impact on the world of sports.",The FIFA World Cup took place in Russia bringing together national football teams from around the globe The tournament featured thrilling matches unexpected upsets and memorable moments France emerged as the champions by defeating Croatia in the final securing their second World Cup title The event showcased exceptional athleticism sportsmanship and the unifying power of football capturing the hearts of millions worldwide and leaving a lasting impact on the world of sports,"['fifa', 'world', 'cup', 'took', 'place', 'russia', 'bringing', 'together', 'national', 'football', 'team', 'around', 'globe', 'tournament', 'featured', 'thrilling', 'match', 'unexpected', 'upset', 'memorable', 'moment', 'france', 'emerged', 'champion', 'defeating', 'croatia', 'final', 'securing', 'second', 'world', 'cup', 'title', 'event', 'showcased', 'exceptional', 'athleticism', 'sportsmanship', 'unifying', 'power', 'football', 'capturing', 'heart', 'million', 'worldwide', 'leaving', 'lasting', 'impact', 'world', 'sport']",0,moderate,0,0
